"date","close","volume","open","high","low"
"16:00","116.72","12,492,474","117.98","118.46","116.4315"
"2018/09/24","116.7200","12487950.0000","117.7600","118.4600","116.4315"
"2018/09/21","117.8500","24745470.0000","119.1300","119.2300","117.7400"
"2018/09/20","118.6300","15575320.0000","118.5000","119.2400","118.0800"
"2018/09/19","117.6200","16046720.0000","114.4400","118.0600","114.4400"
"2018/09/18","114.3000","7940094.0000","114.3300","114.6550","113.5600"
"2018/09/17","113.8400","9554932.0000","113.7900","114.4300","113.3000"
"2018/09/14","113.5000","10231520.0000","113.8100","114.4900","113.2300"
"2018/09/13","113.5200","12415090.0000","113.3700","114.1300","112.6700"
"2018/09/12","113.0800","10798760.0000","114.2500","114.8800","112.8500"
"2018/09/11","114.4300","9332254.0000","113.5400","114.5750","113.1800"
"2018/09/10","113.7100","8276288.0000","114.8500","114.9700","113.6600"
"2018/09/07","114.3200","10954450.0000","114.5000","114.7700","113.6300"
"2018/09/06","114.1000","9877590.0000","114.5000","114.7000","113.5000"
"2018/09/05","114.5900","11461150.0000","115.0000","115.7000","114.2500"
"2018/09/04","115.1500","10169810.0000","114.3400","115.2400","113.6300"
"2018/08/31","114.5800","12964490.0000","114.8300","114.8400","113.8190"
"2018/08/30","115.1900","8991040.0000","115.5900","116.0400","114.9800"
"2018/08/29","115.7600","7218300.0000","116.3500","116.3700","115.3600"
"2018/08/28","116.1400","8302445.0000","117.0000","117.0300","115.9700"
"2018/08/27","116.7100","13757760.0000","115.2200","117.2800","115.1700"
"2018/08/24","114.6800","8843759.0000","114.9800","115.2200","114.4510"
"2018/08/23","114.7300","9265285.0000","114.9600","115.1500","114.4300"
"2018/08/22","114.9700","8314720.0000","115.3100","115.4100","114.7800"
"2018/08/21","115.3200","10956230.0000","115.3700","116.3850","114.8800"
"2018/08/20","114.6200","8618073.0000","114.5900","115.0500","114.1100"
"2018/08/17","114.7700","8503909.0000","114.6400","115.0700","114.3000"
"2018/08/16","114.7700","10053620.0000","114.3500","115.3100","114.3000"
"2018/08/15","113.7000","10148000.0000","113.8200","114.3300","112.9700"
"2018/08/14","114.6500","10596160.0000","114.2700","115.0400","113.6499"
"2018/08/13","113.8900","10328380.0000","115.5600","115.8780","113.8150"
"2018/08/10","115.7300","12627850.0000","115.5000","115.9500","114.6839"
"2018/08/09","116.8800","9646593.0000","117.5100","117.7200","116.6950"
"2018/08/08","117.7900","8996919.0000","117.3300","118.2686","117.2800"
"2018/08/07","117.5500","10560510.0000","117.7400","118.2900","117.3300"
"2018/08/06","117.1200","9421869.0000","116.7900","117.5300","116.1800"
"2018/08/03","117.0900","11014140.0000","116.0000","117.1300","115.9400"
"2018/08/02","116.1500","10157940.0000","114.5700","116.2500","114.3300"
